Sentence,Emotion,score
cho mình xin bài nhạc tên là gì với ạ,Other,0
cho đáng đời con quỷ . về nhà lôi con nhà mày ra mà đánh 😡,Disgust,3
lo học đi . yêu đương lol gì hay lại thích học sinh học,Disgust,3
uớc gì sau này về già vẫn có thể như cụ này :)),Enjoyment,0
mỗi lần có video của con là cứ coi đi coi lại hoài . cưng con quá .,Enjoyment,0
thằng kia sao mày bắt vợ với bồ tao dọn thế kia . nhà mày ở đâu tao đến thịt mày chết,Anger,4
một lí do trog muôn vàn lí do,Other,0
thật hay đùa ác vậy . không thể tin được,Surprise,0
"ko phải con mình , mà xem còn thấy đau như vậy huống gì người trong cuộc . thật là phẫn nộ mà . cơ quan chức năng làm việc quá chậm trễ , đến giờ mà vẫn chưa tìm ra người chịu trách nhiệm . 😠😠😠😠😠😠",Anger,4
per nghe đi rồi khóc 1 trận cho thoải mái . đừng cố gồng mình lên nữa,Sadness,2
công nhận sáng tạo thật đấy,Enjoyment,0
đòn tấn công cực gắt và cục sút của anh 😂😂😂,Disgust,3
trời nắng nóng thế này mình muốn bán nước không biết thu nhập có cao không ạ :3,Other,0
minh biết nữa ne,Enjoyment,0
mấy thằng củ lol việt nam nhảm nhí :)),Disgust,3
"tui thi ́ ch va ̉ i lă ́ mày ma ̀ ăn nhỉ ̀ u no ́ người lă ́ mày mọi người anh ̣ , bi ̣ lơ ̉ miê ̣ người",Sadness,2
"bếp dầu , nhiều nhà vẫn dùng",Other,0
nếu thấy phụ nữ quá phức tạp để hiểu và chinh phục thì đây là cách giải quyết vấn đề,Other,0
"thời buổi bây chừ chuyện gì cũng có thể xảy ra , vậy nên thôi trất , đừng nên tin ai",Fear,1
sau em này mà làm cô giáo ngồi kể chuyện hs lại há mồm ra nghe 😁,Enjoyment,0
"con chó đăng video , mày bị ngu à mà mỗi mẩu lại hiện chữ ăn cặc à",Anger,4
coi video chưa hiểu gì đã làm ầm lên,Disgust,3
chả mong gì nhiều chỉ mong về già được như hai ông bà ! 😊😊😊,Enjoyment,0
yêu chết đi được .,Enjoyment,0
mày định lướt qua rồi nhưng khi đọc bình luận của các bạn và xem kĩ lại thì mày đã rớt nước mắt 😭😭😭.... người cha thật vĩ đại,Sadness,2
xin đi chơi với bạn ngày tổng kết không cho cứ bắt học miết :)) khá mệt,Sadness,2
cá nhân mình nghĩ nó dừng hay đỗ đúng sai thì đã có ca pạt còn nó đỗ trước cửa nhà mình mà oto hay xe không ra vào được thì lúc đó mới ý kiến . công nhận bọn oto đỗ trước nhà nhìn chỉ muốn đốt,Anger,4
từ đầu năm giờ chắc chụp 10 lần rồi huhu sợ quá 😭😭😭,Fear,1
t gặp quả này thì bỏ xe mà chạy ??,Fear,1
thế con trai là của ai cho,Other,0
per đây mí chính là cụ tổ của những chiếc sừng này,Surprise,0
muốn share về mà sợ bị bạn nè phẫn nộ quá,Fear,1
"hồi học lớp 5 bảo bố đi mua sgk cho , xong bố đi mua nguyên bộ lớp 4 đầy đủ từ sgk đến vở bài tập 😂",Sadness,2
nay buồn :(((,Sadness,2
"cv không áp lực , môi trường xung quanh mới dễ tạo áp lực",Fear,1
ai có link nhạc mấy bài trên không ạ hay vãi ra,Enjoyment,0
đây người ta gọi là . khi đại thánh nhập hoặc là múa lân đầu năm,Other,0
phải bồi thường thiệt hại bị trầy xước thân tàu . tiền sơn lại mấy toa tàu chắc cũng bộn .,Other,0
làm công nhân đã bị vắt kiệt sức khỏe cho đến khi bị thải,Sadness,2
khi nào phường có chế độ phát chồng khi mang thân đến đăng kí kết hôn tự nguyện 😊,Enjoyment,0
đéo được tích sự gì 😂,Anger,4
haizzz ... thế là chưa có kq gì tốt đẹp cả ..,Sadness,2
bản thân cố gắng cũng chẳng dễ dàng gì :((,Sadness,2
"nói chung là 1 lũ lừa gạt thôi , việt nam mình là vậy đó",Disgust,3
thế em ăn cơm chưa ?,Other,0
"thu trăm tỷ phạt 5tr , lại qua tỉnh khác hành nghề ha ha",Other,0
chủ yếu là bọn trẻ đú với bọn dân trí thấp mà thích thể hiện bác nhỉ,Disgust,3
mày coi chừng có ngày tao dã dô mặt mày như dzầy,Anger,4
canh thời gian đăng đúng vãi !,Surprise,0
quan trọng mấy thằng đó có chọn mj không . ngồi đó mà ảo tưởng,Disgust,3
học xong 12 như hết thanh xuân có lẽ phải bỏ lỡ 1 người,Sadness,2
mình thi xong còn không khóc được 😢,Sadness,2
"mỗi ngày mình ôm nhau 1 cái như này hén , hí hí",Enjoyment,0
"per trừ điểm , trừ điểm",Sadness,2
"5 triệu , phạt một con mụ lừa đảo , phá hủy niềm tin phật giáo , làm ô uế đời sống tâm linh ... thật rẻ rúng làm sao !",Disgust,3
cả tuần không được nói chuyện,Sadness,2
per mày cẩn thận tao giết,Anger,4
cạn lời với bọn súc vật này làm xấu mặt người bắc giang 😑😑😑,Disgust,3
bài này tao có 2 cảm xúc . đầu tiên về quán trà . đến cảm xúc quen lại c thy xong bị mẹ cấm :)),Other,0
đẹp trai quá,Enjoyment,0
đóng cái lồn tao nè chứ đóng,Anger,4
"khổ thân người dân , trước dự án cao su là dự án cà phê , làm thêm dự án nữa coi như một đời bỏ phí",Sadness,2
"hồi nhỏ bà mày có cho một con ngỗng mình tự tay nuôi nó . từ ngày đó nó đeo mày như chó mèo vậy . nhưng khi lớn nó lại mắc bệnh mà mất . giờ cũng hơn 4 , 5 năm rồi những nhớ nó lắm 😓",Sadness,2
hồi nhỏ đọc tao đã nghi nghi rồi =)))))))),Enjoyment,0
ngẫm nghĩ cha của thánh gióng với sọ dừa ăn mặn vãi .,Disgust,3
"con cần bảo vệ thì giết sạch còn con cần tiêu diệt thì lại đem nuôi , cuộc sống lạ lùng vãi 😕",Disgust,3
dù sao thì con trai vẫn nên là người mở lời trước à 🤣🤣🤣🤣🤣🤣,Enjoyment,0
ad cho hỏi nghệ an lúc nào mưa vậy ah 🌧🌧.. ốm cũng cam lòng chứ vã lắm rồi 🥵🥵,Sadness,2
giận ngược lại rồi giận luôn chứ có huề đéo đâu :(((,Sadness,2
per tao được làm fan cứng giống mày rồi 🤣,Enjoyment,0
