text,Emotion,label
cho mình xin bài nhạc tên là gì với ạ,Other,0
cho đáng đời con quỷ . về nhà lôi con nhà mày ra mà đánh,Disgust,3
lo học đi . yêu đương_lol gì hay lại thích học_sinh học,Disgust,3
ước gì sau_này về già vẫn có_thể như cụ này emoji_vui,Enjoyment,0
mỗi lần có video của con là cứ coi đi coi lại hoài . cưng con quá .,Enjoyment,0
thằng kia sao mày bắt vợ với bồ_tao dọn thế kia . nhà mày ở đâu tao đến thịt mày chết,Anger,4
một lí_do trog_muôn vàn_lí_do,Other,0
thật hay đùa ác vậy . không_thể tin được,Surprise,0
"không_phải con mình , mà xem còn thấy đau như_vậy huống_gì người trong cuộc . thật là phẫn_nộ mà . cơ_quan_chức_năng làm_việc quá chậm_trễ , đến giờ mà vẫn chưa_tìm ra người chịu trách_nhiệm .",Anger,4
per nghe đi rồi khóc 1 trận cho thoải_mái . đừng cố gồng mình lên nữa,Sadness,2
công_nhận sáng_tạo thật đấy,Enjoyment,0
đòn tấn_công cực gắt và cục_sút của anh emoji_cuoi emoji_cuoi emoji_cuoi,Disgust,3
trời nắng_nóng thế_này mình muốn bán nước không_biết thu_nhập có cao không_ạ 3,Other,0
minh biết nữa ne,Enjoyment,0
mấy thằng củ lol việt_nam nhảm nhí emoji_vui,Disgust,3
"tui thi_ch va i lă mày ma ăn nhỉ_u no người lă_mày mọi người anh , bi_lơ_miê người",Sadness,2
"bếp dầu , nhiều nhà vẫn dùng",Other,0
nếu thấy phụ_nữ quá phức_tạp để hiểu và chinh_phục thì đây là cách giải_quyết vấn_đề,Other,0
"thời_buổi bây_chừ chuyện gì cũng có_thể xảy ra , vậy nên thôi_trất , đừng nên tin ai",Fear,1
sau em này mà làm cô_giáo ngồi kể chuyện hs lại há mồm ra nghe,Enjoyment,0
"con chó đăng_video , mày bị ngu à mà mỗi mẩu lại hiện chữ ăn_cặc à",Anger,4
coi video chưa_hiểu gì đã làm ầm lên,Disgust,3
chả_mong gì nhiều chỉ mong về già được như hai ông_bà ! emoji_vui emoji_vui emoji_vui,Enjoyment,0
yêu chết đi được .,Enjoyment,0
mày định lướt qua rồi nhưng khi đọc bình_luận của các bạn và xem kĩ_lại thì mày đã rớt nước_mắt emoji_buon emoji_buon emoji_buon .... người cha thật vĩ_đại,Sadness,2
xin đi chơi với bạn ngày tổng_kết không_cho cứ bắt_học miết_emoji_vui khá mệt,Sadness,2
cá_nhân mình nghĩ nó dừng hay đỗ đúng_sai thì đã có ca pạt còn nó đỗ trước cửa nhà mình mà oto hay xe không_ra_vào được thì lúc đó mới ý_kiến . công_nhận bọn oto đỗ trước nhà nhìn chỉ muốn đốt,Anger,4
từ đầu năm giờ chắc chụp 10 lần rồi huhu sợ quá emoji_buon emoji_buon emoji_buon,Fear,1
t gặp quả này thì bỏ xe mà chạy ? ?,Fear,1
thế con trai là của ai cho,Other,0
per đây mí chính là cụ tổ của những chiếc sừng này,Surprise,0
muốn share về mà sợ bị bạn nè phẫn_nộ quá,Fear,1
"hồi học lớp 5 bảo bố đi mua sgk cho , xong bố đi mua nguyên_bộ lớp 4 đầy_đủ từ sgk đến vở bài_tập emoji_cuoi",Sadness,2
nay buồn emoji_buon,Sadness,2
"cv không_áp_lực , môi_trường xung_quanh mới dễ tạo áp_lực",Fear,1
ai có link_nhạc mấy bài trên không_ạ hay vãi ra,Enjoyment,0
đây người ta gọi_là . khi đại_thánh_nhập hoặc là múa lân đầu năm,Other,0
phải bồi_thường thiệt_hại bị trầy_xước thân tàu . tiền sơn lại mấy toa tàu chắc cũng bộn .,Other,0
làm công_nhân đã bị vắt kiệt_sức khỏe cho đến khi bị thải,Sadness,2
khi nào phường có chế_độ phát chồng khi mang thân đến đăng_kí kết_hôn tự_nguyện emoji_vui,Enjoyment,0
đéo được tích_sự gì emoji_cuoi,Anger,4
haizz ... thế_là chưa_có kq gì tốt_đẹp cả ..,Sadness,2
bản_thân cố_gắng cũng chẳng_dễ_dàng gì emoji_buon,Sadness,2
"nói_chung là 1 lũ lừa_gạt thôi , việt_nam mình là vậy đó",Disgust,3
thế em ăn cơm chưa ?,Other,0
"thu trăm tỷ phạt 5 tr , lại qua tỉnh khác hành_nghề ha ha",Other,0
chủ_yếu là bọn trẻ đú với bọn dân_trí thấp mà thích thể_hiện bác nhỉ,Disgust,3
mày coi_chừng có ngày tao dã_dô mặt_mày như dzầy,Anger,4
canh thời_gian đăng đúng vãi !,Surprise,0
quan_trọng mấy thằng đó có chọn mj không . ngồi đó mà ảo_tưởng,Disgust,3
học xong 12 như hết thanh_xuân có_lẽ phải bỏ lỡ 1 người,Sadness,2
mình thi xong còn không_khóc được emoji_buon,Sadness,2
"mỗi ngày mình ôm nhau 1 cái như này hén , hí hí",Enjoyment,0
"per trừ điểm , trừ điểm",Sadness,2
"5 triệu , phạt một con mụ lừa_đảo , phá hủy niềm tin phật_giáo , làm ô_uế đời_sống tâm_linh ... thật rẻ_rúng làm_sao !",Disgust,3
cả tuần không_được nói_chuyện,Sadness,2
per mày cẩn_thận tao giết,Anger,4
cạn lời với bọn súc_vật này làm xấu mặt người bắc_giang,Disgust,3
bài này tao có 2 cảm_xúc . đầu_tiên về quán trà . đến cảm_xúc quen lại c thy xong bị mẹ cấm emoji_vui,Other,0
đẹp trai quá,Enjoyment,0
đóng cái lồn tao nè chứ đóng,Anger,4
"khổ_thân người_dân , trước dự_án cao_su là dự_án cà_phê , làm thêm dự_án nữa coi như một đời bỏ phí",Sadness,2
"hồi nhỏ bà mày có cho một con ngỗng mình tự tay nuôi nó . từ ngày đó nó đeo_mày như chó mèo vậy . nhưng khi lớn nó lại mắc bệnh mà mất . giờ cũng hơn 4 , 5 năm rồi những nhớ nó lắm",Sadness,2
hồi nhỏ đọc tao đã nghi_nghi rồi emoji_cuoi,Enjoyment,0
ngẫm nghĩ_cha của thánh_gióng với sọ dừa ăn mặn_vãi .,Disgust,3
"con cần bảo_vệ thì giết sạch còn con cần tiêu_diệt thì lại đem nuôi , cuộc_sống lạ_lùng vãi",Disgust,3
dù_sao thì con trai vẫn nên là người mở lời trước à,Enjoyment,0
